Location_ID,Location_Name,URL_Slug,Image_Filename,Image_Source_Tier,License,Attribution,Rendered_Alt_Template,Upgrade_TODO
SK-0002,Saskatoon,saskatoon,saskatoon-saskatoon-region-sk.webp,flag,CC0/Public-Domain,Wikimedia Commons — Public Domain — flag of Saskatchewan (place-neutral fallback),"{SERVICE_CATEGORY} in Saskatoon, Saskatchewan — Saskatoon, Saskatoon Region, Saskatchewan — city of 266,141, 0 km from Saskatoon","Replace with a license-verified photo of Saskatoon, SK (search Wikimedia Commons: ""Saskatoon Saskatchewan"")"
SK-0005,Warman,warman,warman-saskatoon-region-sk.webp,flag,CC0/Public-Domain,Wikimedia Commons — Public Domain — flag of Saskatchewan (place-neutral fallback),"{SERVICE_CATEGORY} in Warman, Saskatchewan — Warman, Saskatoon Region, Saskatchewan — city of 12,419, 21 km from Saskatoon","Replace with a license-verified photo of Warman, SK (search Wikimedia Commons: ""Warman Saskatchewan"")"
SK-0006,Martensville,martensville,martensville-saskatoon-region-sk.webp,flag,CC0/Public-Domain,Wikimedia Commons — Public Domain — flag of Saskatchewan (place-neutral fallback),"{SERVICE_CATEGORY} in Martensville, Saskatchewan — Martensville, Saskatoon Region, Saskatchewan — city of 10,549, 17 km from Saskatoon","Replace with a license-verified photo of Martensville, SK (search Wikimedia Commons: ""Martensville Saskatchewan"")"
SK-0050,Corman Park,corman-park,corman-park-saskatoon-region-sk.webp,flag,CC0/Public-Domain,Wikimedia Commons — Public Domain — flag of Saskatchewan (place-neutral fallback),"{SERVICE_CATEGORY} in Corman Park, Saskatchewan — Corman Park, Saskatoon Region, Saskatchewan — rural municipality of 8,909, on the Opimihaw Creek","Replace with a license-verified photo of Corman Park, SK (search Wikimedia Commons: ""Corman Park Saskatchewan"")"
SK-0135,Vanscoy,vanscoy-rm,vanscoy-rm-saskatoon-region-sk.webp,flag,CC0/Public-Domain,Wikimedia Commons — Public Domain — flag of Saskatchewan (place-neutral fallback),"{SERVICE_CATEGORY} in Vanscoy, Saskatchewan — Vanscoy, Saskatoon Region, Saskatchewan — rural municipality of 2,799, farmland 24 km from Saskatoon","Replace with a license-verified photo of Vanscoy, SK (search Wikimedia Commons: ""Vanscoy Saskatchewan"")"
SK-0204,Dundurn,dundurn-rm,dundurn-rm-saskatoon-region-sk.webp,flag,CC0/Public-Domain,Wikimedia Commons — Public Domain — flag of Saskatchewan (place-neutral fallback),"{SERVICE_CATEGORY} in Dundurn, Saskatchewan — Dundurn, Saskatoon Region, Saskatchewan — rural municipality of 2,101, farmland 32 km from Saskatoon","Replace with a license-verified photo of Dundurn, SK (search Wikimedia Commons: ""Dundurn Saskatchewan"")"
SK-0029,Dalmeny,dalmeny,dalmeny-saskatoon-region-sk.webp,flag,CC0/Public-Domain,Wikimedia Commons — Public Domain — flag of Saskatchewan (place-neutral fallback),"{SERVICE_CATEGORY} in Dalmeny, Saskatchewan — Dalmeny, Saskatoon Region, Saskatchewan — town of 1,766, 23 km from Saskatoon","Replace with a license-verified photo of Dalmeny, SK (search Wikimedia Commons: ""Dalmeny Saskatchewan"")"
SK-0413,Blucher,blucher-rm,blucher-rm-saskatoon-region-sk.webp,flag,CC0/Public-Domain,Wikimedia Commons — Public Domain — flag of Saskatchewan (place-neutral fallback),"{SERVICE_CATEGORY} in Blucher, Saskatchewan — Blucher, Saskatoon Region, Saskatchewan — rural municipality of 1,984, farmland 37 km from Saskatoon","Replace with a license-verified photo of Blucher, SK (search Wikimedia Commons: ""Blucher Saskatchewan"")"
SK-0412,Rosthern,rosthern-rm,rosthern-rm-saskatoon-region-sk.webp,flag,CC0/Public-Domain,Wikimedia Commons — Public Domain — flag of Saskatchewan (place-neutral fallback),"{SERVICE_CATEGORY} in Rosthern, Saskatchewan — Rosthern, Saskatoon Region, Saskatchewan — rural municipality of 2,473, beside Boot Lake","Replace with a license-verified photo of Rosthern, SK (search Wikimedia Commons: ""Rosthern Saskatchewan"")"
SK-0038,Langham,langham,langham-saskatoon-region-sk.webp,flag,CC0/Public-Domain,Wikimedia Commons — Public Domain — flag of Saskatchewan (place-neutral fallback),"{SERVICE_CATEGORY} in Langham, Saskatchewan — Langham, Saskatoon Region, Saskatchewan — town of 1,518, 31 km from Saskatoon","Replace with a license-verified photo of Langham, SK (search Wikimedia Commons: ""Langham Saskatchewan"")"
